detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Hamming,20,24,6,normal,0.5513882637023926,0.4103245735168457,0.10337567329406738,0.03268766403198242,0.005001068115234375,7.501364707946777,0,210,0,0
Hamming,20,24,6,anomalous,0.5513882637023926,0.4103245735168457,0.10337567329406738,0.03268766403198242,0.004242658615112305,7.534939527511597,0,0,0,210
Hamming,20,24,7,normal,0.5864830017089844,0.44731593132019043,0.10550665855407715,0.028659343719482422,0.005243062973022461,7.516626834869385,0,210,0,0
Hamming,20,24,7,anomalous,0.5864830017089844,0.44731593132019043,0.10550665855407715,0.028659343719482422,0.005234718322753906,7.541106939315796,0,0,0,210
Hamming,20,24,8,normal,0.5794131755828857,0.43808817863464355,0.1066749095916748,0.029656171798706055,0.005007743835449219,7.587756156921387,0,210,0,0
Hamming,20,24,8,anomalous,0.5794131755828857,0.43808817863464355,0.1066749095916748,0.029656171798706055,0.0050013065338134766,7.729543209075928,0,0,0,210
Hamming,20,24,9,normal,0.6156980991363525,0.46967315673828125,0.11002278327941895,0.03000617027282715,0.0050008296966552734,7.756422996520996,0,209,1,0
Hamming,20,24,9,anomalous,0.6156980991363525,0.46967315673828125,0.11002278327941895,0.03000617027282715,0.0049932003021240234,7.6195433139801025,0,0,0,210
Hamming,20,24,10,normal,0.5567219257354736,0.41884613037109375,0.10413861274719238,0.028737306594848633,0.005001068115234375,7.53287410736084,0,209,1,0
Hamming,20,24,10,anomalous,0.5567219257354736,0.41884613037109375,0.10413861274719238,0.028737306594848633,0.005243539810180664,7.560176610946655,0,0,0,210
Hamming,25,24,1,normal,0.5971779823303223,0.45321059226989746,0.10512089729309082,0.032659292221069336,0.006249904632568359,8.334994792938232,0,210,0,0
Hamming,25,24,1,anomalous,0.5971779823303223,0.45321059226989746,0.10512089729309082,0.032659292221069336,0.006013154983520508,8.38379693031311,0,0,0,210
Hamming,25,24,2,normal,0.5641319751739502,0.41968297958374023,0.105682373046875,0.03176093101501465,0.0061838626861572266,8.308252096176147,0,210,0,0
Hamming,25,24,2,anomalous,0.5641319751739502,0.41968297958374023,0.105682373046875,0.03176093101501465,0.007161140441894531,8.435117244720459,0,0,0,210
Hamming,25,24,3,normal,0.594545841217041,0.44809961318969727,0.10535192489624023,0.03509402275085449,0.00599980354309082,8.37159514427185,0,210,0,0
Hamming,25,24,3,anomalous,0.594545841217041,0.44809961318969727,0.10535192489624023,0.03509402275085449,0.007001638412475586,8.443194389343262,0,0,0,210
Hamming,25,24,4,normal,0.5623879432678223,0.41558194160461426,0.1050727367401123,0.03555917739868164,0.006013154983520508,8.37186074256897,0,210,0,0
Hamming,25,24,4,anomalous,0.5623879432678223,0.41558194160461426,0.1050727367401123,0.03555917739868164,0.006001472473144531,8.434008121490479,0,0,0,210
Hamming,25,24,5,normal,0.5912458896636963,0.4477722644805908,0.10582304000854492,0.031648874282836914,0.006001949310302734,8.367711305618286,0,210,0,0
Hamming,25,24,5,anomalous,0.5912458896636963,0.4477722644805908,0.10582304000854492,0.031648874282836914,0.006154775619506836,8.431184530258179,0,0,0,210
Hamming,25,24,6,normal,0.5739820003509521,0.4294464588165283,0.10462284088134766,0.032735347747802734,0.007002592086791992,8.341750144958496,0,210,0,0
Hamming,25,24,6,anomalous,0.5739820003509521,0.4294464588165283,0.10462284088134766,0.032735347747802734,0.006462574005126953,8.459447383880615,0,0,0,210
Hamming,25,24,7,normal,0.5925781726837158,0.4473452568054199,0.10471773147583008,0.033513545989990234,0.006360530853271484,8.365630149841309,0,210,0,0
Hamming,25,24,7,anomalous,0.5925781726837158,0.4473452568054199,0.10471773147583008,0.033513545989990234,0.006006717681884766,8.425011396408081,0,0,0,210
Hamming,25,24,8,normal,0.5665619373321533,0.42133665084838867,0.10744476318359375,0.03178048133850098,0.0061419010162353516,8.34848403930664,0,210,0,0
Hamming,25,24,8,anomalous,0.5665619373321533,0.42133665084838867,0.10744476318359375,0.03178048133850098,0.005995035171508789,8.403306245803833,0,0,0,210
Hamming,25,24,9,normal,0.6292109489440918,0.4665975570678711,0.12152528762817383,0.033098697662353516,0.006001472473144531,8.415630102157593,0,210,0,0
Hamming,25,24,9,anomalous,0.6292109489440918,0.4665975570678711,0.12152528762817383,0.033098697662353516,0.0060079097747802734,8.441467761993408,0,0,0,210
