DT,Usage
13825,0.49
13826,0.56
13827,0.16
13828,0.32
13829,0.33
13830,0.07
13831,0.03
13832,0.02
13833,0.02
13834,0.01
13835,0.0
13836,0.0
13837,0.0
13838,0.0
13839,0.0
13840,0.0
13841,0.0
13842,0.0
13843,0.0
13844,0.0
13845,0.0
13846,0.0
13847,0.0
13848,0.0
13901,0.0
13902,0.0
13903,0.0
13904,0.0
13905,0.0
13906,0.0
13907,0.0
13908,0.0
13909,0.0
13910,0.0
13911,0.0
13912,0.0
13913,0.0
13914,0.0
13915,0.01
13916,0.05
13917,0.2
13918,0.3
13919,0.36
13920,0.42
13921,0.34
13922,0.45
13923,0.54
13924,0.41
13925,0.24
13926,0.19
13927,0.01
13928,0.1
13929,0.29
13930,0.07
13931,0.02
13932,0.02
13933,0.02
13934,0.01
13935,0.0
13936,0.0
13937,0.0
13938,0.0
13939,0.0
13940,0.0
13941,0.0
13942,0.0
13943,0.0
13944,0.0
13945,0.0
13946,0.0
13947,0.0
13948,0.0
14001,0.0
14002,0.0
14003,0.0
14004,0.0
14005,0.0
14006,0.0
14007,0.01
14008,0.0
14009,0.0
14010,0.0
14011,0.0
14012,0.0
14013,0.0
14014,0.0
14015,0.0
14016,0.01
14017,0.01
14018,0.02
14019,0.04
14020,0.03
14021,0.05
14022,0.1
14023,0.03
14024,0.05
14025,0.04
14026,0.07
14027,0.09
14028,0.06
14029,0.09
14030,0.07
14031,0.04
14032,0.01
14033,0.02
14034,0.01
14035,0.01
14036,0.0
14037,0.0
14038,0.0
14039,0.0
14040,0.0
14041,0.0
14042,0.0
14043,0.0
14044,0.0
14045,0.0
14046,0.0
14047,0.0
14048,0.0
14101,0.0
14102,0.0
14103,0.0
14104,0.0
14105,0.0
14106,0.0
14107,0.0
14108,0.0
14109,0.0
14110,0.0
14111,0.0
14112,0.0
14113,0.0
14114,0.0
14115,0.01
14116,0.04
14117,0.05
14118,0.1
14119,0.14
14120,0.15
14121,0.17
14122,0.29
14123,0.01
14124,0.53
14125,0.62
14126,0.43
14127,0.07
14128,0.01
14129,0.0
14130,0.06
14131,0.02
14132,0.02
14133,0.01
14134,0.01
14135,0.01
14136,0.0
14137,0.0
14138,0.0
14139,0.0
14140,0.0
14141,0.0
14142,0.0
14143,0.0
14144,0.0
14145,0.0
14146,0.0
14147,0.0
14148,0.0
14201,0.0
14202,0.0
14203,0.0
14204,0.0
14205,0.0
14206,0.0
14207,0.0
14208,0.0
14209,0.0
14210,0.0
14211,0.0
14212,0.0
14213,0.0
14214,0.0
14215,0.03
14216,0.06
14217,0.19
14218,0.31
14219,0.36
14220,0.25
14221,0.28
14222,0.47
14223,0.33
14224,0.22
14225,0.11
14226,0.49
14227,0.36
14228,0.38
14229,0.21
14230,0.1
14231,0.06
14232,0.05
14233,0.01
14234,0.01
14235,0.0
14236,0.0
14237,0.0
14238,0.01
14239,0.0
14240,0.0
14241,0.0
14242,0.0
14243,0.0
14244,0.0
14245,0.0
14246,0.0
14247,0.0
14248,0.0
14301,0.0
14302,0.0
14303,0.0
14304,0.0
14305,0.0
14306,0.0
14307,0.0
14308,0.0
14309,0.0
14310,0.0
14311,0.0
14312,0.0
14313,0.0
14314,0.0
14315,0.03
14316,0.03
14317,0.21
14318,0.31
14319,0.38
14320,0.45
14321,0.49
14322,0.54
14323,0.42
14324,0.34
14325,0.22
14326,0.03
14327,0.21
14328,0.31
14329,0.36
14330,0.06
14331,0.02
14332,0.02
14333,0.02
14334,0.01
14335,0.0
14336,0.0
14337,0.0
14338,0.0
14339,0.0
14340,0.0
14341,0.0
14342,0.0
14343,0.0
14344,0.0
14345,0.0
14346,0.0
14347,0.0
